original_title,english_title,rating,year,film_poster,genres
The Silence of the Lambs,,8.21,1991,https://fwcdn.pl/fpo/10/47/1047/8022081_1.7.webp,Thriller
A Beautiful Mind,,8.21,2001,https://fwcdn.pl/fpo/18/64/31864/7521208_1.7.webp,Biograficzny;Dramat
Django Unchained,,8.21,2012,https://fwcdn.pl/fpo/05/41/620541/7504936_2.7.webp,Western
Inception,,8.21,2010,https://fwcdn.pl/fpo/08/91/500891/7354571_1.7.webp,Surrealistyczny;Thriller;Sci-Fi
The Lion King,,8.21,1994,https://fwcdn.pl/fpo/68/78/6878/7389475_1.7.webp,Animacja;Familijny
Joker,,8.21,2019,https://fwcdn.pl/fpo/01/67/810167/7905225_1.7.webp,Dramat;Kryminał;Psychologiczny
Gran Torino,,8.16,2008,https://fwcdn.pl/fpo/65/80/476580/7239651_2.7.webp,Dramat
Scarface,,8.16,1983,https://fwcdn.pl/fpo/48/33/4833/6935904_1.7.webp,Dramat;Gangsterski
Coco,,8.16,2017,https://fwcdn.pl/fpo/22/60/752260/7813486_2.7.webp,Animacja;Familijny;Przygodowy
Shutter Island,,8.15,2010,https://fwcdn.pl/fpo/42/56/464256/7317256_2.7.webp,Dramat;Thriller
Léon,,8.12,1994,https://fwcdn.pl/fpo/06/71/671/8021401_1.7.webp,Dramat;Kryminał
American History X,,8.11,1998,https://fwcdn.pl/fpo/06/33/30633/7237666_1.7.webp,Dramat
Gladiator,,8.11,2000,https://fwcdn.pl/fpo/09/36/936/8022172_1.7.webp,Dramat historyczny
Green Book,,8.09,2018,https://fwcdn.pl/fpo/96/30/809630/7873350_1.7.webp,Dramat;Komedia
Saving Private Ryan,,8.07,1998,https://fwcdn.pl/fpo/01/79/179/7710998_1.7.webp,Dramat;Wojenny
Braveheart,,8.06,1995,https://fwcdn.pl/fpo/10/52/1052/7911791_1.7.webp,Dramat historyczny
Good Will Hunting,,8.06,1997,https://fwcdn.pl/fpo/00/21/21/8021517_1.7.webp,Dramat obyczajowy
Whiplash,,8.05,2014,https://fwcdn.pl/fpo/88/47/698847/7655940_1.7.webp,Dramat;Muzyczny
Apocalypse Now,,8.05,1979,https://fwcdn.pl/fpo/10/92/1092/8138331.7.webp,Dramat;Wojenny
The Boy in the Striped Pyjamas,,8.05,2008,https://fwcdn.pl/fpo/01/36/420136/7347382_1.7.webp,Dramat;Wojenny
Scent of a Woman,,8.04,1992,https://fwcdn.pl/fpo/10/93/1093/7377615_1.7.webp,Dramat
